Best parameters: {'learning_rate': 0.1, 'max_depth': 6}
0.000 (+/-0.000) for {'learning_rate': 0.001, 'max_depth': 6}
0.000 (+/-0.000) for {'learning_rate': 0.001, 'max_depth': 10}
0.000 (+/-0.000) for {'learning_rate': 0.001, 'max_depth': 16}
0.000 (+/-0.000) for {'learning_rate': 0.001, 'max_depth': 22}
0.000 (+/-0.000) for {'learning_rate': 0.001, 'max_depth': 28}
0.000 (+/-0.000) for {'learning_rate': 0.001, 'max_depth': 36}
0.000 (+/-0.000) for {'learning_rate': 0.01, 'max_depth': 6}
0.000 (+/-0.000) for {'learning_rate': 0.01, 'max_depth': 10}
0.000 (+/-0.000) for {'learning_rate': 0.01, 'max_depth': 16}
0.000 (+/-0.000) for {'learning_rate': 0.01, 'max_depth': 22}
0.000 (+/-0.000) for {'learning_rate': 0.01, 'max_depth': 28}
0.000 (+/-0.000) for {'learning_rate': 0.01, 'max_depth': 36}
0.337 (+/-0.512) for {'learning_rate': 0.1, 'max_depth': 6}
0.317 (+/-0.476) for {'learning_rate': 0.1, 'max_depth': 10}
0.317 (+/-0.476) for {'learning_rate': 0.1, 'max_depth': 16}
0.317 (+/-0.476) for {'learning_rate': 0.1, 'max_depth': 22}
0.317 (+/-0.476) for {'learning_rate': 0.1, 'max_depth': 28}
0.317 (+/-0.476) for {'learning_rate': 0.1, 'max_depth': 36}
0.319 (+/-0.208) for {'learning_rate': 1, 'max_depth': 6}
0.317 (+/-0.220) for {'learning_rate': 1, 'max_depth': 10}
0.297 (+/-0.160) for {'learning_rate': 1, 'max_depth': 16}
0.297 (+/-0.160) for {'learning_rate': 1, 'max_depth': 22}
0.297 (+/-0.160) for {'learning_rate': 1, 'max_depth': 28}
0.297 (+/-0.160) for {'learning_rate': 1, 'max_depth': 36}
0.107 (+/-0.133) for {'learning_rate': 10, 'max_depth': 6}
0.103 (+/-0.129) for {'learning_rate': 10, 'max_depth': 10}
0.103 (+/-0.129) for {'learning_rate': 10, 'max_depth': 16}
0.103 (+/-0.129) for {'learning_rate': 10, 'max_depth': 22}
0.103 (+/-0.129) for {'learning_rate': 10, 'max_depth': 28}
0.103 (+/-0.129) for {'learning_rate': 10, 'max_depth': 36}
0.119 (+/-0.217) for {'learning_rate': 100, 'max_depth': 6}
0.119 (+/-0.217) for {'learning_rate': 100, 'max_depth': 10}
0.119 (+/-0.217) for {'learning_rate': 100, 'max_depth': 16}
0.119 (+/-0.217) for {'learning_rate': 100, 'max_depth': 22}
0.119 (+/-0.217) for {'learning_rate': 100, 'max_depth': 28}
0.119 (+/-0.217) for {'learning_rate': 100, 'max_depth': 36}
0.212 (+/-0.054) for {'learning_rate': 1000, 'max_depth': 6}
0.212 (+/-0.054) for {'learning_rate': 1000, 'max_depth': 10}
0.212 (+/-0.054) for {'learning_rate': 1000, 'max_depth': 16}
0.212 (+/-0.054) for {'learning_rate': 1000, 'max_depth': 22}
0.212 (+/-0.054) for {'learning_rate': 1000, 'max_depth': 28}
0.212 (+/-0.054) for {'learning_rate': 1000, 'max_depth': 36}
0.212 (+/-0.054) for {'learning_rate': 10000, 'max_depth': 6}
0.212 (+/-0.054) for {'learning_rate': 10000, 'max_depth': 10}
0.212 (+/-0.054) for {'learning_rate': 10000, 'max_depth': 16}
0.212 (+/-0.054) for {'learning_rate': 10000, 'max_depth': 22}
0.212 (+/-0.054) for {'learning_rate': 10000, 'max_depth': 28}
0.212 (+/-0.054) for {'learning_rate': 10000, 'max_depth': 36}
