Best parameters: {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 2, 'n_estimators': 1}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 2, 'n_estimators': 1}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 2, 'n_estimators': 2}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 2, 'n_estimators': 4}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 2, 'n_estimators': 6}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 2, 'n_estimators': 8}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 2, 'n_estimators': 10}
0.869 (+/-0.041) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 4, 'n_estimators': 1}
0.862 (+/-0.039) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 4, 'n_estimators': 2}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 4, 'n_estimators': 4}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 4, 'n_estimators': 6}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 4, 'n_estimators': 8}
0.872 (+/-0.016) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 4, 'n_estimators': 10}
0.853 (+/-0.034) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 6, 'n_estimators': 1}
0.863 (+/-0.035) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 6, 'n_estimators': 2}
0.865 (+/-0.032) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 6, 'n_estimators': 4}
0.863 (+/-0.023) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 6, 'n_estimators': 6}
0.872 (+/-0.022) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 6, 'n_estimators': 8}
0.870 (+/-0.021) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 6, 'n_estimators': 10}
0.858 (+/-0.051) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 10, 'n_estimators': 1}
0.845 (+/-0.042) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 10, 'n_estimators': 2}
0.870 (+/-0.036) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 10, 'n_estimators': 4}
0.865 (+/-0.035) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 10, 'n_estimators': 6}
0.863 (+/-0.048) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 10, 'n_estimators': 8}
0.865 (+/-0.051) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 10, 'n_estimators': 10}
0.842 (+/-0.062) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 16, 'n_estimators': 1}
0.863 (+/-0.039) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 16, 'n_estimators': 2}
0.855 (+/-0.069) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 16, 'n_estimators': 4}
0.864 (+/-0.045) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 16, 'n_estimators': 6}
0.865 (+/-0.045) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 16, 'n_estimators': 8}
0.867 (+/-0.038) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 16, 'n_estimators': 10}
0.843 (+/-0.071) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 22, 'n_estimators': 1}
0.850 (+/-0.050) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 22, 'n_estimators': 2}
0.858 (+/-0.040) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 22, 'n_estimators': 4}
0.858 (+/-0.041) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 22, 'n_estimators': 6}
0.870 (+/-0.022) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 22, 'n_estimators': 8}
0.872 (+/-0.037) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 22, 'n_estimators': 10}
0.845 (+/-0.091) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 28, 'n_estimators': 1}
0.838 (+/-0.077) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 28, 'n_estimators': 2}
0.847 (+/-0.051) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 28, 'n_estimators': 4}
0.863 (+/-0.043) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 28, 'n_estimators': 6}
0.867 (+/-0.038) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 28, 'n_estimators': 8}
0.869 (+/-0.047) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 28, 'n_estimators': 10}
0.847 (+/-0.055) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 36, 'n_estimators': 1}
0.843 (+/-0.067) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 36, 'n_estimators': 2}
0.850 (+/-0.078) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 36, 'n_estimators': 4}
0.860 (+/-0.045) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 36, 'n_estimators': 6}
0.869 (+/-0.042) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 36, 'n_estimators': 8}
0.869 (+/-0.052) for {'class_weight': {0: 3.9013, 1: 0.5735}, 'max_depth': 36, 'n_estimators': 10}
